rho_0,alpha,cv_pw_distance
67.5,3.0,33.75462620547154
67.5,3.75,34.15442910199329
67.5,2.75,35.82101548078875
67.5,4.0,36.58907831623671
67.5,2.5,37.33361224813628
67.5,1.25,37.40426859460763
67.5,1.0,37.40570022244416
67.5,1.75,37.406064045313094
67.5,2.0,37.4061885005825
67.5,2.25,37.40642917930021
67.5,1.5,37.4073358105989
67.5,4.25,40.179689162331385
67.5,4.5,44.838336823703635
67.5,4.75,50.493050468618364
67.5,5.0,57.037384162532625
67.5,5.25,64.04111472648097
67.5,5.5,70.77875800897667
67.5,5.75,78.34940219313174
67.5,6.0,86.19308650490977
70.0,3.0,32.59767796411878
70.0,3.25,32.875405919487385
70.0,2.75,33.90129473621119
70.0,3.5,34.4905776136821
70.0,2.5,36.17125851996039
70.0,3.75,37.386762882485854
70.0,2.25,37.40204530125
70.0,1.25,37.40426859460763
70.0,1.0,37.40570022244416
70.0,1.75,37.406064045313094
70.0,2.0,37.4061885005825
70.0,1.5,37.4073358105989
70.0,4.0,41.609610455923054
70.0,4.25,47.06964868133269
70.0,4.5,53.63986393772902
70.0,4.75,61.06734165413599
70.0,5.0,68.40971199837966
70.0,5.25,76.52758803900565
70.0,5.5,84.74227813333393
70.0,5.75,93.98058135575708
70.0,6.0,103.87003037116673
72.5,2.75,32.59750622649021
72.5,3.0,32.96842734518467
72.5,2.5,34.083155257612724
72.5,3.25,34.91518312669217
72.5,2.25,36.5689499581711
72.5,1.25,37.40426859460763
72.5,1.0,37.40570022244416
72.5,1.75,37.406064045313094
72.5,2.0,37.40664588537722
72.5,1.5,37.4073358105989
72.5,3.5,38.41925954223637
72.5,3.75,43.45618579673726
72.5,4.0,49.941822668630344
72.5,4.25,57.65165105573359
72.5,4.5,65.85047080390451
72.5,4.75,74.18336056787822
72.5,5.0,83.11032147232984
72.5,5.25,93.109389300242
72.5,5.5,103.86143808002821
72.5,5.75,115.7809082794382
72.5,6.0,129.0036451165751
75.0,2.5,32.59995250361284
75.0,2.75,33.09544945994686
75.0,2.25,34.31932273150783
75.0,3.0,35.47634395997974
75.0,2.0,36.952462053975395
75.0,1.25,37.40426859460763
75.0,1.0,37.40570022244416
75.0,1.75,37.406064045313094
75.0,1.5,37.4073358105989
75.0,3.25,39.77482595932805
75.0,3.5,45.88927227201698
75.0,3.75,53.64414949248072
75.0,4.0,62.5995735702916
75.0,4.25,71.51254112431397
75.0,4.5,81.2677244034392
75.0,4.75,92.11401396764258
75.0,5.0,103.86934424460034
75.0,5.25,117.09868273430648
75.0,5.5,132.1646691504249
75.0,5.75,149.0350255873403
75.0,6.0,169.755207776758
77.5,2.25,32.5977885480585
77.5,2.5,33.26424260403256
77.5,2.0,34.61979673850363
77.5,2.75,36.262972949336245
77.5,1.75,37.2701238892158
77.5,1.25,37.40426859460763
77.5,1.0,37.40570022244416
77.5,1.5,37.4073358105989
77.5,3.0,41.60977211493261
77.5,3.25,49.166741541921965
77.5,3.5,58.55817905479499
77.5,3.75,68.41349571897362
77.5,4.0,79.14205255324225
77.5,4.25,90.91644606794219
77.5,4.5,103.86124658519411
77.5,4.75,118.6552204914373
77.5,5.0,136.1482907341751
77.5,5.25,155.05297956252332
77.5,5.5,182.48802663068062
77.5,5.75,209.73031614587273
77.5,6.0,233.07368566302026
80.0,2.0,32.59927088859463
