rho_0,alpha,device,,error_list
40.0,2.75,1212,max,41.49
40.0,2.75,1212,min,0.53
40.0,2.75,1212,count,141.0
40.0,2.75,1212,std,10.14
40.0,2.75,121D,mean,14.95
40.0,2.75,121D,median,13.18
40.0,2.75,121D,rmse,17.72
40.0,2.75,121D,max,38.87
40.0,2.75,121D,min,0.54
40.0,2.75,121D,count,147.0
40.0,2.75,121D,std,9.5
40.0,2.75,1F61,mean,17.96
40.0,2.75,1F61,median,16.63
40.0,2.75,1F61,rmse,21.5
40.0,2.75,1F61,max,43.41
40.0,2.75,1F61,min,0.54
40.0,2.75,1F61,count,144.0
40.0,2.75,1F61,std,11.82
40.0,2.75,2005,mean,14.64
40.0,2.75,2005,median,12.79
40.0,2.75,2005,rmse,17.29
40.0,2.75,2005,max,42.71
40.0,2.75,2005,min,0.55
40.0,2.75,2005,count,145.0
40.0,2.75,2005,std,9.2
40.0,2.75,2055,mean,14.68
40.0,2.75,2055,median,12.54
40.0,2.75,2055,rmse,17.26
40.0,2.75,2055,max,35.76
40.0,2.75,2055,min,0.54
40.0,2.75,2055,count,141.0
40.0,2.75,2055,std,9.08
40.0,3.0,1002,mean,18.5
40.0,3.0,1002,median,17.24
40.0,3.0,1002,rmse,22.03
40.0,3.0,1002,max,42.77
40.0,3.0,1002,min,0.7
40.0,3.0,1002,count,141.0
40.0,3.0,1002,std,11.96
40.0,3.0,104D,mean,16.67
40.0,3.0,104D,median,14.81
40.0,3.0,104D,rmse,20.05
40.0,3.0,104D,max,42.35
40.0,3.0,104D,min,0.38
40.0,3.0,104D,count,136.0
40.0,3.0,104D,std,11.15
40.0,3.0,10CE,mean,14.89
40.0,3.0,10CE,median,12.28
40.0,3.0,10CE,rmse,17.78
40.0,3.0,10CE,max,42.57
40.0,3.0,10CE,min,0.7
40.0,3.0,10CE,count,146.0
40.0,3.0,10CE,std,9.72
40.0,3.0,1210,mean,14.1
40.0,3.0,1210,median,12.54
40.0,3.0,1210,rmse,16.65
40.0,3.0,1210,max,32.81
40.0,3.0,1210,min,0.52
40.0,3.0,1210,count,143.0
40.0,3.0,1210,std,8.86
40.0,3.0,1211,mean,17.37
40.0,3.0,1211,median,16.97
40.0,3.0,1211,rmse,20.71
40.0,3.0,1211,max,42.4
40.0,3.0,1211,min,0.53
40.0,3.0,1211,count,136.0
40.0,3.0,1211,std,11.27
40.0,3.0,1212,mean,14.94
40.0,3.0,1212,median,12.79
40.0,3.0,1212,rmse,17.82
40.0,3.0,1212,max,40.5
40.0,3.0,1212,min,0.52
40.0,3.0,1212,count,141.0
40.0,3.0,1212,std,9.71
40.0,3.0,121D,mean,14.43
40.0,3.0,121D,median,12.3
40.0,3.0,121D,rmse,17.19
40.0,3.0,121D,max,34.5
40.0,3.0,121D,min,0.53
40.0,3.0,121D,count,147.0
40.0,3.0,121D,std,9.34
40.0,3.0,1F61,mean,16.76
40.0,3.0,1F61,median,15.12
40.0,3.0,1F61,rmse,20.32
40.0,3.0,1F61,max,43.41
40.0,3.0,1F61,min,0.52
40.0,3.0,1F61,count,144.0
40.0,3.0,1F61,std,11.49
40.0,3.0,2005,mean,13.96
40.0,3.0,2005,median,12.02
40.0,3.0,2005,rmse,16.52
40.0,3.0,2005,max,32.81
40.0,3.0,2005,min,0.1
40.0,3.0,2005,count,145.0
40.0,3.0,2005,std,8.83
40.0,3.0,2055,mean,14.21
40.0,3.0,2055,median,12.02
40.0,3.0,2055,rmse,16.75
40.0,3.0,2055,max,32.81
40.0,3.0,2055,min,0.39
40.0,3.0,2055,count,141.0
40.0,3.0,2055,std,8.87
40.0,3.25,1002,mean,17.19
40.0,3.25,1002,median,16.13
40.0,3.25,1002,rmse,20.66
40.0,3.25,1002,max,42.58
40.0,3.25,1002,min,0.7
40.0,3.25,1002,count,141.0
40.0,3.25,1002,std,11.47
40.0,3.25,104D,mean,15.83
40.0,3.25,104D,median,13.43
40.0,3.25,104D,rmse,19.24
40.0,3.25,104D,max,42.35
40.0,3.25,104D,min,0.3
40.0,3.25,104D,count,136.0
40.0,3.25,104D,std,10.93
40.0,3.25,10CE,mean,14.06
40.0,3.25,10CE,median,12.54
40.0,3.25,10CE,rmse,16.69
40.0,3.25,10CE,max,36.59
40.0,3.25,10CE,min,0.38
40.0,3.25,10CE,count,146.0
40.0,3.25,10CE,std,8.98
40.0,3.25,1210,mean,13.96
40.0,3.25,1210,median,11.58
40.0,3.25,1210,rmse,16.56
40.0,3.25,1210,max,32.81
40.0,3.25,1210,min,0.39
40.0,3.25,1210,count,143.0
40.0,3.25,1210,std,8.92
40.0,3.25,1211,mean,16.46
40.0,3.25,1211,median,15.48
40.0,3.25,1211,rmse,19.76
40.0,3.25,1211,max,42.4
40.0,3.25,1211,min,0.7
40.0,3.25,1211,count,136.0
40.0,3.25,1211,std,10.93
40.0,3.25,1212,mean,14.97
40.0,3.25,1212,median,13.3
40.0,3.25,1212,rmse,17.9
40.0,3.25,1212,max,40.5
40.0,3.25,1212,min,0.39
40.0,3.25,1212,count,141.0
40.0,3.25,1212,std,9.82
40.0,3.25,121D,mean,13.57
40.0,3.25,121D,median,11.58
40.0,3.25,121D,rmse,16.01
40.0,3.25,121D,max,32.6
40.0,3.25,121D,min,0.7
40.0,3.25,121D,count,147.0
40.0,3.25,121D,std,8.49
40.0,3.25,1F61,mean,14.98
40.0,3.25,1F61,median,12.56
40.0,3.25,1F61,rmse,18.25
40.0,3.25,1F61,max,38.5
40.0,3.25,1F61,min,0.7
40.0,3.25,1F61,count,144.0
40.0,3.25,1F61,std,10.43
40.0,3.25,2005,mean,13.62
40.0,3.25,2005,median,11.9
40.0,3.25,2005,rmse,16.15
40.0,3.25,2005,max,32.66
40.0,3.25,2005,min,0.1
40.0,3.25,2005,count,145.0
40.0,3.25,2005,std,8.68
40.0,3.25,2055,mean,13.77
40.0,3.25,2055,median,12.02
40.0,3.25,2055,rmse,16.29
40.0,3.25,2055,max,32.81
40.0,3.25,2055,min,0.0
40.0,3.25,2055,count,141.0
40.0,3.25,2055,std,8.71
40.0,3.5,1002,mean,15.06
40.0,3.5,1002,median,13.21
40.0,3.5,1002,rmse,18.34
40.0,3.5,1002,max,40.55
40.0,3.5,1002,min,0.39
40.0,3.5,1002,count,141.0
40.0,3.5,1002,std,10.47
40.0,3.5,104D,mean,14.31
40.0,3.5,104D,median,10.72
40.0,3.5,104D,rmse,17.79
40.0,3.5,104D,max,42.35
40.0,3.5,104D,min,0.0
40.0,3.5,104D,count,136.0
40.0,3.5,104D,std,10.56
40.0,3.5,10CE,mean,13.67
40.0,3.5,10CE,median,12.16
