WAP96,WAP100,WAP101,WAP102,WAP104,WAP105,WAP106,WAP107,WAP108,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE
-75,100,100,-87,100,-91,100,100,100,100,100,-90,100,100,-93,1633,3.5,12.5,1210
-74,100,100,-87,100,-91,100,100,100,100,100,100,100,100,-91,1633,3.5,12.5,1210
-76,100,100,-87,100,100,100,100,100,100,100,100,100,100,-89,1633,3.5,12.5,1210
-77,100,100,-85,100,100,100,100,100,100,100,-96,100,100,-93,1633,3.5,12.5,1210
-77,100,100,-92,100,100,100,100,100,100,100,100,100,100,-91,1633,3.5,12.5,1211
-83,100,100,-89,100,-91,100,100,100,100,100,-90,100,100,-91,1633,3.5,12.5,1211
-82,100,100,-89,100,-93,100,100,100,100,100,-92,100,100,-91,1633,3.5,12.5,1211
-78,100,100,-82,100,100,100,100,100,100,100,-95,100,100,-89,1633,3.5,12.5,1211
-85,100,100,-84,100,100,100,100,100,100,100,-92,100,100,100,1633,3.5,12.5,1211
-77,100,100,-93,100,100,100,100,100,100,100,-94,100,100,-91,1633,3.5,12.5,1211
-78,100,100,-83,100,100,100,100,100,100,100,-96,100,100,-91,1633,3.5,12.5,1211
-80,100,100,-82,100,100,100,100,100,100,100,-94,100,100,-91,1633,3.5,12.5,1211
-76,100,100,-82,100,100,100,100,100,100,100,-96,100,100,-93,1633,3.5,12.5,1211
-78,100,100,-96,100,100,100,100,100,100,100,100,100,100,-95,1633,3.5,12.5,1212
-75,100,100,-92,100,100,100,100,100,100,100,-96,100,100,-93,1633,3.5,12.5,1212
-81,100,100,-91,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1212
-83,100,100,-92,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1212
-78,100,100,-96,100,100,100,100,100,100,100,100,100,100,-94,1633,3.5,12.5,1212
-78,100,100,-95,100,100,100,100,100,100,100,-98,100,100,-92,1633,3.5,12.5,1212
-79,100,100,-92,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1212
-76,100,100,-89,100,-91,100,100,100,100,100,100,100,100,-91,1633,3.5,12.5,1210
-76,100,100,-83,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1210
-71,100,100,-88,100,100,100,100,100,100,100,-90,100,100,-93,1633,3.5,12.5,1210
-74,100,100,-88,100,-98,100,100,100,100,100,-95,100,100,-89,1633,3.5,12.5,1210
